CHANNEL,SCHEME,DETAIL_SCHEME,GROUP_PROMOTION_NAME,VALID_FROM,DURATION,TOTAL_DEALS
Grab,BxGy,B1G1,10000024091,7/1/2024,1,2100
Grab,BxGy,B1G1,10000024201,7/8/2024,1,2000
Grab,BxGy,B1G1,10000024591,7/22/2024,1,1950
Grab,BxGy,B1G1,10000024671,7/18/2024,1,3000
Grab,BxGy,B1G1,10000025021,8/1/2024,1,2250
Grab,BxGy,B1G1,10000025031,8/5/2024,1,1900
Grab,BxGy,B1G1,10000025041,8/12/2024,1,2300
Grab,BxGy,B1G1,10000025051,8/21/2024,1,2550
Grab,BxGy,B1G1,10000025061,8/29/2024,1,2600
Grab,BxGy,B2G1,10000024211,7/2/2024,3,1350
Grab,BxGy,B2G1,10000024621,7/23/2024,3,1400
Grab,BxGy,B2G1,10000024701,7/16/2024,2,1450
Grab,BxGy,B2G1,10000025071,8/2/2024,2,900
Grab,BxGy,B2G1,10000025081,8/26/2024,3,1300
Grab,BxGy,B2G1,10000025601,8/9/2024,2,450
Grab,Combo,Combo 2 ly 99K,10000025191,8/9/2024,2,150
ShopeeFood,BxGy,B1G1,10000024681,7/26/2024,1,1750
ShopeeFood,BxGy,B2G1,10000024181,7/10/2024,3,1550
ShopeeFood,BxGy,B2G1,10000024191,7/29/2024,3,3450
ShopeeFood,BxGy,B2G1,10000024581,7/19/2024,2,1550
ShopeeFood,BxGy,B2G1,10000025241,8/15/2024,2,1300
ShopeeFood,BxGy,B2G1,10000025251,8/30/2024,1,300
ShopeeFood,BxGy,B2G1,10000025641,8/22/2024,3,3050
ShopeeFood,Combo,Combo 2 ly 79K,10000024471,7/5/2024,4,4300
ShopeeFood,Combo,Combo 2 ly 79K,10000025611,8/19/2024,2,1650
ShopeeFood,Combo,Combo 3 ly 109K,10000024571,7/15/2024,1,600
ShopeeFood,Combo,Combo 3 ly 99K,10000024991,8/6/2024,3,5700
Dine-in,BxGy,B2G1,10000025661,8/28/2024,4,250
Dine-in,Combo,Combo 2 ly 99K,10000024501,7/11/2024,67,24100
Dine-in,Combo,Combo 2 ly 99K,10000025181,8/9/2024,2,250
